Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Brooklyn,Male,Latino/Hispanic,8,37.3,1,12.5,4,18.7
Brooklyn,Male,Other/Unknown,1,156.3,0,0,0,0
Brooklyn,Male,White,1,11.9,0,0,0,0
Brooklyn,Female,Black,3,11.4,0,0,3,11.4
Brooklyn,Female,Latino/Hispanic,2,5.2,1,50,4,10.5
Brooklyn,Male,"Asian/Pacific
Islander",1,19.3,0,0,0,0
Brooklyn,Male,Black,21,99.6,2,9.5,12,56.9
Brooklyn,Male,Latino/Hispanic,17,48.3,3,17.6,8,22.7
Brooklyn,Male,White,10,43.6,2,20,3,13.1
Manhattan,Female,Black,21,22.2,4,19,27,28.5
Manhattan,Female,Latino/Hispanic,13,7,3,23.1,9,4.8
Manhattan,Female,White,2,0.5,0,0,2,0.5
Manhattan,Male,"Asian/Pacific
Islander",14,17.4,3,21.4,9,11.2
Manhattan,Male,Black,111,136.6,15,13.5,48,59.1
Manhattan,Male,Latino/Hispanic,108,65.2,20,18.5,66,39.9
Manhattan,Male,Other/Unknown,4,34,2,50,3,25.5
Manhattan,Male,White,55,16.2,4,7.3,29,8.6
Manhattan,Female,Black,9,21.6,3,33.3,12,28.8
Manhattan,Female,Latino/Hispanic,1,4.9,0,0,2,9.8
Manhattan,Male,"Asian/Pacific
Islander",1,24.1,0,0,1,24.1
Manhattan,Male,Black,38,112.4,6,15.8,17,50.3
Manhattan,Male,Latino/Hispanic,19,111.1,3,15.8,11,64.3
Manhattan,Male,Other/Unknown,1,59.8,0,0,1,59.8
Manhattan,Male,White,6,42.7,0,0,3,21.4
Manhattan,Female,Black,1,28,0,0,0,0
Manhattan,Female,Latino/Hispanic,1,9,0,0,0,0
Manhattan,Female,White,1,2.3,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",5,41.5,0,0,2,16.6
Manhattan,Male,Black,8,188.3,0,0,4,94.2
Manhattan,Male,Latino/Hispanic,21,178.5,4,19,9,76.5
Manhattan,Male,White,11,22.5,1,9.1,5,10.2
Manhattan,Female,Black,2,12.5,0,0,6,37.6
Manhattan,Female,Latino/Hispanic,1,4.4,0,0,1,4.4
Manhattan,Female,White,1,13.9,0,0,1,13.9
Manhattan,Male,"Asian/Pacific
Islander",1,28,0,0,0,0
Manhattan,Male,Black,12,93.8,2,16.7,7,54.7
Manhattan,Male,Latino/Hispanic,10,49.4,3,30,7,34.6
Manhattan,Male,Other/Unknown,1,178.7,0,0,0,0
Manhattan,Male,White,5,67.9,1,20,2,27.2
Manhattan,Female,Black,1,40.9,0,0,0,0
Manhattan,Female,Latino/Hispanic,2,37.8,0,0,0,0
Manhattan,Male,Black,3,103.7,0,0,2,69.2
Manhattan,Male,Latino/Hispanic,8,161.2,3,37.5,4,80.6
Manhattan,Male,White,4,10,0,0,3,7.5
Manhattan,Male,"Asian/Pacific
Islander",1,16.4,0,0,0,0
Manhattan,Male,Black,1,83.3,0,0,0,0
Manhattan,Male,Latino/Hispanic,5,173.8,0,0,3,104.3
Manhattan,Male,Other/Unknown,1,128.6,1,100,1,128.6
Manhattan,Male,White,5,19.1,0,0,0,0
Manhattan,Male,Black,4,289.4,3,75,2,144.7
Manhattan,Male,White,3,17.1,1,33.3,2,11.4
Manhattan,Female,Black,2,33.7,0,0,1,16.8
Manhattan,Male,"Asian/Pacific
Islander",1,5.2,0,0,0,0
Manhattan,Male,Black,16,288.6,0,0,4,72.2
Manhattan,Male,Latino/Hispanic,8,53.7,1,12.5,4,26.9
Manhattan,Male,White,2,5.2,0,0,2,5.2
Manhattan,Male,"Asian/Pacific
Islander",2,23.8,1,50,1,11.9
Manhattan,Male,Black,1,46.1,0,0,1,46.1
Manhattan,Male,Latino/Hispanic,2,24.5,2,100,4,48.9
Manhattan,Male,White,3,4.8,1,33.3,6,9.6
Manhattan,Male,"Asian/Pacific
Islander",3,37.6,2,66.7,3,37.6
Manhattan,Male,Black,4,76.2,0,0,3,57.2
Manhattan,Male,Latino/Hispanic,9,64.9,2,22.2,6,43.3
Manhattan,Male,Other/Unknown,1,82.4,1,100,1,82.4
Manhattan,Male,White,4,6.8,0,0,1,1.7
Manhattan,Female,Black,6,43.8,1,16.7,5,36.5
Manhattan,Female,Latino/Hispanic,8,10.5,3,37.5,4,5.3
Manhattan,Male,Black,22,183.7,4,18.2,8,66.8
Manhattan,Male,Latino/Hispanic,26,37.6,2,7.7,17,24.6
Manhattan,Male,White,12,48.8,0,0,5,20.3
Queens,Female,"Asian/Pacific
Islander",3,1.1,2,66.7,4,1.5
Queens,Female,Black,40,20.7,11,27.5,21,10.9
Queens,Female,Latino/Hispanic,19,7.3,5,26.3,15,5.8
Queens,Female,White,2,0.8,1,50,1,0.4
Queens,Male,"Asian/Pacific
Islander",31,12.5,6,19.4,11,4.4
Queens,Male,Black,62,38.7,13,21,37,23.1
Queens,Male,Latino/Hispanic,134,51.4,28,20.9,66,25.3
Queens,Male,Other/Unknown,5,25.8,0,0,0,0
Queens,Male,White,15,6.1,4,26.7,8,3.3
Queens,Female,Latino/Hispanic,1,21.1,0,0,0,0
Queens,Female,Black,1,39.4,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",9,16.7,3,33.3,4,7.4
Queens,Male,Black,1,53.8,0,0,1,53.8
Queens,Male,Latino/Hispanic,6,34.9,1,16.7,3,17.4
Queens,Male,White,1,3.7,1,100,2,7.3
Queens,Female,"Asian/Pacific
Islander",1,6,0,0,0,0
Queens,Female,Black,1,26.9,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",2,13.6,0,0,0,0
Queens,Male,Black,1,39.1,0,0,0,0
Queens,Male,Latino/Hispanic,2,30.9,0,0,0,0
Queens,Male,White,1,7.1,1,100,1,7.1
Queens,Female,"Asian/Pacific
Islander",1,3.3,1,100,1,3.3
Queens,Female,Black,11,14.2,4,36.4,8,10.3
Queens,Female,Latino/Hispanic,2,9.1,1,50,3,13.7
Queens,Male,Black,26,42.3,3,11.5,9,14.6
Queens,Male,Latino/Hispanic,13,59.3,2,15.4,7,31.9
Queens,Male,Other/Unknown,1,31.2,0,0,0,0
Queens,Male,White,1,10.9,0,0,0,0
Queens,Female,Black,1,18.3,1,100,1,18.3
Queens,Female,Latino/Hispanic,3,14.1,1,33.3,1,4.7
Queens,Male,Black,5,113.4,1,20,1,22.7
Queens,Male,Latino/Hispanic,16,78.1,5,31.3,9,43.9
Queens,Male,Other/Unknown,1,60.2,0,0,0,0
Queens,Male,White,3,6.6,0,0,1,2.2
Queens,Female,Black,1,36.5,0,0,1,36.5
Queens,Male,"Asian/Pacific
Islander",2,11.1,0,0,0,0
Queens,Male,Black,2,81.9,0,0,2,81.9
Queens,Male,Latino/Hispanic,13,46.2,3,23.1,5,17.8
Queens,Male,Other/Unknown,2,109.7,0,0,0,0
Queens,Male,White,3,5.6,0,0,1,1.9
Queens,Female,Black,8,36.3,4,50,9,40.8
Queens,Male,"Asian/Pacific
Islander",1,45.7,0,0,0,0
Queens,Male,Black,5,28.8,2,40,6,34.5
